geoid,timestep,deaths_sp_lag,INTPTLAT,INTPTLON,timestep,svi_theme1,svi_theme2,svi_theme3,svi_theme4,svi_total_,prev_deaths_05back,prev_deaths_04back,prev_deaths_03back,prev_deaths_02back,prev_deaths_01back
17031010100,2,0.6,42.0212553,-87.6698301,2,0.7266,0.3552,0.6652,0.8699,0.7562,0.0,0.0,0.0,0.0,1.0
17031010201,2,0.14285714285714285,42.0160077,-87.6801484,2,0.8108,0.5819,0.888,0.947,0.9325,0.0,0.0,0.0,0.0,0.0
17031010202,2,0.625,42.0160476,-87.6733256,2,0.7016,0.3417,0.8568,0.9801,0.8619,0.0,0.0,0.0,0.0,0.0
17031010300,2,0.5,42.0159431,-87.6665393,2,0.5695,0.1866,0.8379,0.9833,0.76,0.0,0.0,0.0,0.0,2.0
17031010400,2,0.75,42.0064109,-87.6588157,2,0.5516,0.0382,0.4726,0.9984,0.6209,0.0,0.0,0.0,0.0,0.0
17031010501,2,0.8,42.0094119,-87.6639583,2,0.6447,0.1057,0.6937,0.7566,0.6049,0.0,0.0,0.0,0.0,0.0
17031010502,2,0.6,42.0045173,-87.6633273,2,0.5676,0.0279,0.6347,0.9001,0.5021,0.0,0.0,0.0,0.0,1.0
17031010503,2,0.8333333333333334,42.0003207,-87.6631262,2,0.7231,0.5947,0.8343,0.9618,0.8917,0.0,0.0,0.0,0.0,1.0
17031010600,2,0.7777777777777778,42.0062774,-87.667683,2,0.636,0.0578,0.8376,0.9541,0.6878,0.0,0.0,0.0,0.0,1.0
17031010701,2,0.125,42.0091482,-87.6786204,2,0.6097,0.3048,0.8941,0.6426,0.663,0.0,0.0,0.0,0.0,1.0
17031010702,2,0.5714285714285714,42.0090199,-87.6727257,2,0.8571,0.3372,0.9268,0.9563,0.9258,0.0,0.0,0.0,0.0,0.0
17031020100,2,0.125,42.015721,-87.6871169,2,0.6903,0.4226,0.8594,0.8979,0.8156,0.0,0.0,0.0,0.0,0.0
17031020200,2,0.1111111111111111,42.0156903,-87.6995191,2,0.6704,0.5899,0.7856,0.8009,0.7687,0.0,0.0,0.0,0.0,0.0
